date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-06-17,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-18,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-18,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-18,13214558,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-19,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-19,13214572,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,13214542,4380392,1.0,390.0,1.0,390.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-19,13221181,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-19,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-19,13214558,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-20,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-20,13221181,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-20,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-20,13214558,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-21,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-21,13221181,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-21,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-21,13214558,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
